Urdu,English
سر,head
کھڑے,stand
اپنے,own
صفحہ,page
چاہئے,should
ملک,country
پایا,found
جواب,answer
اسکول,school
اضافہ,grow
مطالعہ,study
اب بھی,still
جاننے کے,learn
پلانٹ,plant
کور,cover
کھانا,food
سورج,sun
چار,four
کے درمیان,between
ریاست,state
رکھنے کے,keep
آنکھ,eye
کبھی نہیں,never
آخری,last
دو,let
سوچا,thought
شہر,city
درخت,tree
پار,cross
فارم,farm
مشکل,hard
آغاز,start
ہو سکتا ہے,might
کہانی,story
ص,saw
اب تک,far
سمندر,sea
اپنی طرف متوجہ,draw
بائیں,left
دیر سے,late
رن,run
نہیں,don’t
جبکہ,while
پریس,press
بند کریں,close
رات,night
اصلی,real
زندگی,life
چند,few
شمالی,north
کتاب,book
لے جانے کے,carry
لیا,took
سائنس,science
کھانے,eat
کمرے,room
دوست,friend
شروع,began
خیال,idea
مچھلی,fish
پہاڑ,mountain
کو روکنے کے,stop
ایک بار,once
بنیاد,base
سن,hear
گھوڑا,horse
کٹ,cut
اس بات کا یقین,sure
گھڑی,watch
رنگین,color
چہرے,face
لکڑی,wood
اہم,main
کھولیں,open
لگتا ہے,seem
ایک ساتھ مل کر,together
اگلا,next
سفید,white
بچوں,children
شروع,begin
ملا,got
چلنا,walk
مثال کے طور پر,example
کم,ease
کاغذ,paper
گروپ,group
ہمیشہ,always
موسیقی,music
ان,those
دونوں,both
مارک,mark
اکثر,often
خط,letter
جب تک,until
میل,mile
دریا,river
کار,car
پاؤں,feet
دیکھ بھال,care
دوسری,second
کافی,enough
سادہ,plain
لڑکی,girl
معمول,usual
نوجوان,young
تیار,ready
اوپر,above
کبھی,ever
ریڈ,red
فہرست,list
اگرچہ,though
محسوس,feel
بات,talk
برڈ,bird
جلد ہی,soon
جسم,body
کتا,dog
خاندان,family
براہ راست,direct
لاحق,pose
چھوڑ,leave
نغمہ,song
پیمائش,measure
دروازہ,door
مصنوعات,product
سیاہ,black
مختصر,short
ہندسی,numeral
کلاس,class
ہوا,wind
سوال,question
ہو,happen
مکمل,complete
جہاز,ship
علاقے,area
نصف,half
راک,rock
حکم,order
آگ,fire
جنوبی,south
مسئلہ,problem
ٹکڑا,piece
بتایا,told
جانتا تھا,knew
پاس,pass
سے,since
سب سے اوپر,top
پورے,whole
بادشاہ,king
سڑک,street
انچ,inch
ضرب,multiply
کچھ بھی نہیں,nothing
کورس,course
رہنا,stay
وہیل,wheel
مکمل,full
طاقت,force
بلیو,blue
اعتراض,object
فیصلہ,decide
سطح,surface
گہری,deep
چاند,moon
جزائر,island
پاؤں,foot
نظام,system
مصروف,busy
ٹیسٹ,test
ریکارڈ,record
کشتی,boat
عام,common
سونا,gold
ممکن,possible
ہوائی جہاز,plane
جگہ,stead
خشک,dry
حیرت ہے,wonder
ہنسی,laugh
ہزار,thousand
پہلے,ago
بھاگ گیا,ran
چیک,check
کھیل ہی کھیل میں,game
شکل,shape
برابر,equate
گرم، شہوت انگیز,hot
مس,miss
لایا,brought
گرمی,heat
برف,snow
ٹائر,tire
لانے کے,bring
جی ہاں,yes
دور,distant
بھرنے,fill
وسطی,east
پینٹ,paint
زبان,language
میں,among
