,Urdu,English
0,سر,head
1,کھڑے,stand
2,اپنے,own
3,صفحہ,page
4,چاہئے,should
5,ملک,country
6,پایا,found
7,جواب,answer
8,اسکول,school
9,اضافہ,grow
10,مطالعہ,study
11,اب بھی,still
12,جاننے کے,learn
13,پلانٹ,plant
14,کور,cover
15,کھانا,food
16,سورج,sun
17,چار,four
18,کے درمیان,between
19,ریاست,state
20,رکھنے کے,keep
21,آنکھ,eye
22,کبھی نہیں,never
23,آخری,last
24,دو,let
25,سوچا,thought
26,شہر,city
27,درخت,tree
28,پار,cross
29,فارم,farm
30,مشکل,hard
31,آغاز,start
32,ہو سکتا ہے,might
33,کہانی,story
34,ص,saw
35,اب تک,far
36,سمندر,sea
37,اپنی طرف متوجہ,draw
38,بائیں,left
39,دیر سے,late
40,رن,run
41,نہیں,don’t
42,جبکہ,while
43,پریس,press
44,بند کریں,close
45,رات,night
46,اصلی,real
47,زندگی,life
48,چند,few
49,شمالی,north
50,کتاب,book
51,لے جانے کے,carry
52,لیا,took
53,سائنس,science
54,کھانے,eat
55,کمرے,room
56,دوست,friend
57,شروع,began
58,خیال,idea
59,مچھلی,fish
60,پہاڑ,mountain
61,کو روکنے کے,stop
62,ایک بار,once
63,بنیاد,base
64,سن,hear
65,گھوڑا,horse
66,کٹ,cut
67,اس بات کا یقین,sure
68,گھڑی,watch
69,رنگین,color
70,چہرے,face
71,لکڑی,wood
72,اہم,main
73,کھولیں,open
74,لگتا ہے,seem
75,ایک ساتھ مل کر,together
76,اگلا,next
77,سفید,white
78,بچوں,children
79,شروع,begin
80,ملا,got
81,چلنا,walk
82,مثال کے طور پر,example
83,کم,ease
84,کاغذ,paper
85,گروپ,group
86,ہمیشہ,always
87,موسیقی,music
88,ان,those
89,دونوں,both
90,مارک,mark
91,اکثر,often
92,خط,letter
93,جب تک,until
94,میل,mile
95,دریا,river
96,کار,car
97,پاؤں,feet
98,دیکھ بھال,care
99,دوسری,second
100,کافی,enough
101,سادہ,plain
102,لڑکی,girl
103,معمول,usual
104,نوجوان,young
105,تیار,ready
106,اوپر,above
107,کبھی,ever
108,ریڈ,red
109,فہرست,list
110,اگرچہ,though
111,محسوس,feel
112,بات,talk
113,برڈ,bird
114,جلد ہی,soon
115,جسم,body
116,کتا,dog
117,خاندان,family
118,براہ راست,direct
119,لاحق,pose
120,چھوڑ,leave
121,نغمہ,song
122,پیمائش,measure
123,دروازہ,door
124,مصنوعات,product
125,سیاہ,black
126,مختصر,short
127,ہندسی,numeral
128,کلاس,class
129,ہوا,wind
130,سوال,question
131,ہو,happen
132,مکمل,complete
133,جہاز,ship
134,علاقے,area
135,نصف,half
136,راک,rock
137,حکم,order
138,آگ,fire
139,جنوبی,south
140,مسئلہ,problem
141,ٹکڑا,piece
142,بتایا,told
143,جانتا تھا,knew
144,پاس,pass
145,سے,since
146,سب سے اوپر,top
147,پورے,whole
148,بادشاہ,king
149,سڑک,street
150,انچ,inch
151,ضرب,multiply
152,کچھ بھی نہیں,nothing
153,کورس,course
154,رہنا,stay
155,وہیل,wheel
156,مکمل,full
157,طاقت,force
158,بلیو,blue
159,اعتراض,object
160,فیصلہ,decide
161,سطح,surface
162,گہری,deep
163,چاند,moon
164,جزائر,island
165,پاؤں,foot
166,نظام,system
167,مصروف,busy
168,ٹیسٹ,test
169,ریکارڈ,record
170,عام,common
171,سونا,gold
172,ممکن,possible
173,ہوائی جہاز,plane
174,جگہ,stead
175,خشک,dry
176,حیرت ہے,wonder
177,ہنسی,laugh
178,ہزار,thousand
179,پہلے,ago
180,بھاگ گیا,ran
181,چیک,check
182,کھیل ہی کھیل میں,game
183,شکل,shape
184,برابر,equate
185,گرم، شہوت انگیز,hot
186,مس,miss
187,لایا,brought
188,گرمی,heat
189,برف,snow
190,ٹائر,tire
191,لانے کے,bring
192,جی ہاں,yes
193,دور,distant
194,بھرنے,fill
195,وسطی,east
196,پینٹ,paint
197,زبان,language
198,میں,among
